timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603706883715,707,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,780,0,1,1,https://google.com/search?q=Abel,707,0,0
1603706884423,705,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,782,0,1,1,https://google.com/search?q=Kiley,705,0,0
1603706885129,707,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,788,0,1,1,https://google.com/search?q=Graciela,707,0,0
1603706885837,708,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,782,0,1,1,https://google.com/search?q=Cammy,708,0,0
1603706886545,702,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,784,0,1,1,https://google.com/search?q=Mattie,702,0,0
1603706887248,722,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,786,0,1,1,https://google.com/search?q=Meaghan,722,0,0
1603706887971,704,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,784,0,1,1,https://google.com/search?q=Gladys,704,0,0
1603706888675,694,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,780,0,1,1,https://google.com/search?q=Yuki,694,0,0
1603706889370,713,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,786,0,1,1,https://google.com/search?q=Fletche,713,0,0
1603713088656,2490,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,782,0,5,5,https://google.com/search?q=James,2490,0,0
1603713089445,1702,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,782,0,5,5,https://google.com/search?q=James,1702,0,0
1603713089040,2107,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,782,0,5,5,https://google.com/search?q=James,2107,0,0
1603713089238,1909,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,782,0,5,5,https://google.com/search?q=James,1909,0,0
1603713088843,2304,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,782,0,5,5,https://google.com/search?q=James,2304,0,0
1603713091185,717,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,790,0,5,5,https://google.com/search?q=Josephine,717,0,0
1603713091185,718,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,790,0,5,5,https://google.com/search?q=Josephine,718,0,0
1603713091185,724,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,790,0,5,5,https://google.com/search?q=Josephine,724,0,0
1603713091185,725,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,790,0,5,5,https://google.com/search?q=Josephine,725,0,0
1603713091188,722,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,790,0,5,5,https://google.com/search?q=Josephine,722,0,0
1603713091902,706,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,778,0,5,5,https://google.com/search?q=Art,706,0,0
1603713091910,718,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,778,0,5,5,https://google.com/search?q=Art,718,0,0
1603713091910,720,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,778,0,5,5,https://google.com/search?q=Art,720,0,0
1603713091910,720,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,778,0,5,5,https://google.com/search?q=Art,720,0,0
1603713091903,727,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,778,0,5,5,https://google.com/search?q=Art,727,0,0
1603713092609,706,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,782,0,5,5,https://google.com/search?q=Lenna,706,0,0
